-----------------------------------------------------------|---------|----------|---------|---------|-------------------------------------------------------------------
File                                                       | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                 
-----------------------------------------------------------|---------|----------|---------|---------|-------------------------------------------------------------------
 shared/utils                                              |   80.97 |    82.82 |   88.88 |   80.97 |                                                                   
  ChunkedStorage.js                                        |   53.75 |    69.23 |      75 |   53.75 | 38-40,55-78,102-103,107-130,139-159                               
  CompressionUtils.js                                      |     100 |      100 |     100 |     100 |                                                                   
  DomUtils.js                                              |     100 |      100 |     100 |     100 |                                                                   
  ErrorHandler.js                                          |     100 |       75 |     100 |     100 | 40                                                                
  Logger.js                                                |   77.38 |       90 |   85.71 |   77.38 | 74-76,120-133,146-166                                             
  Tabs.js                                                  |   88.59 |    74.35 |   85.71 |   88.59 | 12-13,32-33,58-60,64-67,112-113                                   
  settings.js                                              |     100 |      100 |     100 |     100 |                                                                   
-----------------------------------------------------------|---------|----------|---------|---------|-------------------------------------------------------------------
Test Suites: 68 passed, 68 total
Tests:       525 passed, 525 total
Snapshots:   0 total
Time:        122.688 s, estimated 147 s
Ran all test suites.

real    2m5.320s
user    1m46.896s
sys     0m5.375s
Thu Jan  1 01:50:35 PM -03 2026
sant@penguin:~/extensaoUNIVESP (dev)
> 
